Environment,Covariate,Quantile,Time,Value
SO,PETP,0.75,14,-1.5339524787919514
SO,PETP,0.75,35,-0.7317699971067034
SO,PETP,0.75,65,-0.38764305745991007
SO,PETP,0.75,90,-0.4315314558402821
SO,PRECTOT,0.25,0,-0.9923488861571494
SO,PRECTOT,0.25,14,-1.5077632542615378
SO,PRECTOT,0.25,35,-0.19410265892854175
SO,PRECTOT,0.25,65,1.7620908496622696
SO,PRECTOT,0.25,90,-0.447213595499958
SO,PRECTOT,0.5,0,-1.1892524710833372
SO,PRECTOT,0.5,14,-1.5573472129106942
SO,PRECTOT,0.5,35,-0.39559650400932284
