Environment,Covariate,Quantile,Time,Value
SO,ETP,0.75,35,0.40626445389564714
SO,ETP,0.75,65,-0.44830023556355597
SO,ETP,0.75,90,-0.37670539491424543
SO,fRUE,0.25,0,0.8797752491071589
SO,fRUE,0.25,14,1.4238685231104808
SO,fRUE,0.25,35,1.4375303933878179
SO,fRUE,0.25,65,1.264641526707943
SO,fRUE,0.25,90,1.206881908519725
SO,fRUE,0.5,0,1.3691219126061702
SO,fRUE,0.5,14,1.3414957677688104
SO,fRUE,0.5,35,1.2954390314872286
SO,fRUE,0.5,65,1.2475928673120378
SO,fRUE,0.5,90,1.2286572275410454
SO,fRUE,0.75,0,1.4371123110761987
SO,fRUE,0.75,14,1.3261645323051408
SO,fRUE,0.75,35,1.1802430696523434
SO,fRUE,0.75,65,1.2033355173964444
SO,fRUE,0.75,90,1.1749726234182394
SO,n,0.25,0,0.12025437410173344
SO,n,0.25,14,-1.2949160002875735
SO,n,0.25,35,0.6549384664785334
SO,n,0.25,65,-0.024943195888210277
SO,n,0.25,90,-0.5178892657011509
SO,N,0.25,0,-0.01907157570379512
SO,N,0.25,14,0.8935612070508255
SO,N,0.25,35,1.182476368826024
SO,N,0.25,65,1.163404733240371
SO,N,0.25,90,1.09784558858024
SO,n,0.5,0,0.8044654259522315
SO,n,0.5,14,0.1539939300821865
SO,n,0.5,35,0.5155350998361466
SO,n,0.5,65,-0.49664790994238395
SO,n,0.5,90,-0.8398156806037137
SO,N,0.5,0,-0.1590453705081743
SO,N,0.5,14,0.7059143233948302
SO,N,0.5,35,1.168424737058931
SO,N,0.5,65,1.1723068321482868
SO,N,0.5,90,1.118623645700288
SO,n,0.75,0,0.7368915444460812
SO,n,0.75,14,0.7303091452993096
SO,n,0.75,35,-0.8998380205850478
SO,n,0.75,65,-1.3986539587291076
SO,n,0.75,90,-0.6965799594566142
SO,N,0.75,0,-0.2821783599848449
SO,N,0.75,14,0.46067300442366654
SO,N,0.75,35,1.129074348163306
SO,N,0.75,65,1.179294369090765
SO,N,0.75,90,1.135991663757858
SO,PETP,0.25,0,-1.001605838402306
SO,PETP,0.25,14,-1.7363213650886362
SO,PETP,0.25,35,-1.1780742178639083
SO,PETP,0.25,65,0.8487933416679496
SO,PETP,0.25,90,-0.022771737730695983
SO,PETP,0.5,0,-1.6647318816443488
SO,PETP,0.5,14,-1.6472972977510096
SO,PETP,0.5,35,-1.0714814807615411
SO,PETP,0.5,65,0.15619697793084328
SO,PETP,0.5,90,-0.004570361761187442
SO,PETP,0.75,0,-1.3589936870530306
