env,gid,value
1_PI_LN,L027xL031,3.024343960654148
1_PI_LN,L027xL032,4.110683585397872
1_PI_LN,L027xL034,5.275874889251647
1_PI_LN,L027xL035,3.4282093952648207
1_PI_LN,L027xL037,3.2967201441152474
1_PI_LN,L027xL038,5.006467824277935
1_PI_LN,L027xL042,6.249516926924488
1_PI_LN,L027xL048,4.587169999897141
1_PI_LN,L027xL049,4.791809874364951
1_PI_LN,L027xL054,3.795152393251647
1_PI_LN,L027xL055,4.167580137397873
1_PI_LN,L027xL056,5.204329277897141
1_PI_LN,L028xL034,3.4179096934535567
1_PI_LN,L028xL042,5.487288246521483
1_PI_LN,L028xL045,3.657075224392673
1_PI_LN,L028xL049,3.9915863333170747
1_PI_LN,L028xL054,2.710829103785652
1_PI_LN,L028xL055,3.2885829284535566
1_PI_LN,L029xL007B,6.9370033288732875
1_PI_LN,L029xL014B,4.578686032325492
1_PI_LN,L029xL014C,3.0984364800990942
1_PI_LN,L029xL033,2.2375781394351018
1_PI_LN,L029xL034,2.7490513751007715
1_PI_LN,L029xL035,4.115601308788268
1_PI_LN,L029xL038,3.8547110568315177
1_PI_LN,L029xL039,4.886808751897141
1_PI_LN,L029xL041,4.458881463392673
1_PI_LN,L029xL042,2.4027734430371863
1_PI_LN,L029xL043,4.646994715661694
1_PI_LN,L029xL047,2.852736502897141
1_PI_LN,L029xL048,4.85097399795751
1_PI_LN,L031xL032,5.204070849785833
1_PI_LN,L031xL034,2.2186408661007713
1_PI_LN,L031xL035,3.766035074161843
1_PI_LN,L031xL039,5.845925639825981
1_PI_LN,L031xL042,3.658313443903735
1_PI_LN,L031xL049,3.594416738325492
1_PI_LN,L031xL058,1.648454888037186
1_PI_LN,L032xL007B,5.781440071453557
1_PI_LN,L032xL014B,4.995485122389856
1_PI_LN,L032xL014C,3.8566788144709174
1_PI_LN,L032xL033,2.9400083524351017
1_PI_LN,L032xL034,3.4365645590990948
1_PI_LN,L032xL035,4.652889625661694
1_PI_LN,L032xL037,4.849171546654148
1_PI_LN,L032xL038,5.233364063825981
